Ran RT,Seq RT,,Avg Ran RT,Avg Seq RT,Difference of Average Random and Sequential RT's
0.4249405,0.3306054,,0.408477481,0.2203481,0.188129381
0.3964023,0.2590087,,,,
0.4040862,0.4458258,,,,
0.3048885,0.3631282,,,,
0.4831475,0.3778916,,,,
0.4414968,0.306859,,,,
0.3655806,0.3877163,,,,
0.3684908,0.3756017,,,,
0.3477267,0.1432319,,,,
0.497287,0.2244456,,,,
0.3756854,0.2782648,,,,
0.3663487,0.4521834,,,,
0.3630761,0.3366194,,,,
0.4382856,0.3135029,,,,
0.4975195,0.1741333,,,,
0.3617397,0.342605,,,,
0.2776406,0.1851161,,,,
0.3126427,0.467916,,,,
0.4039323,0.3272874,,,,
0.377084,0.2302422,,,,
0.3661829,0.3333981,,,,
0.3729598,0.3838773,,,,
0.3862007,0.3774717,,,,
0.3590327,0.3965748,,,,
0.3439209,0.2838308,,,,
0.3864185,0.2622168,,,,
0.484616,0.1374916,,,,
0.3488266,0.3015573,,,,
0.3676943,0.4019622,,,,
0.4014894,0.3466169,,,,
0.4374711,1.54682,,,,
0.33775,0.0990812,,,,
0.3617458,0.0245865,,,,
0.3236111,0.1802357,,,,
0.39894,0.215879,,,,
0.4263693,0.0260307,,,,
0.6117353,0.1378956,,,,
0.3634966,0.0853016,,,,
0.3693859,0.0933942,,,,
0.5233227,0.1337999,,,,
0.4123759,0.0015616,,,,
0.5833163,0.0016223,,,,
0.4182878,0.110353,,,,
0.4158747,1.1176727,,,,
0.3562229,0.1865682,,,,
0.4383043,0.3243834,,,,
0.3612959,0.0049522,,,,
0.3515179,0.2941131,,,,
0.3662385,0.3442045,,,,
0.3565379,0.2368696,,,,
0.3635419,0.2429601,,,,
0.3844279,0.2758613,,,,
0.3327417,0.1821722,,,,
0.3916327,0.2519414,,,,
0.4197193,0.3197707,,,,
0.4348056,0.0683594,,,,
0.3979519,0.1360449,,,,
0.3904823,0.3346022,,,,
0.457712,0.2770437,,,,
0.3617826,0.2807204,,,,
0.5029681,0.2527115,,,,
0.344694,0.1029603,,,,
0.4522158,0.3182861,,,,
0.4722445,0.196776,,,,
0.3427196,0.2025057,,,,
0.3547079,0.2633694,,,,
0.3362088,0.1789021,,,,
0.3339971,0.0828753,,,,
0.3982943,0.3154731,,,,
0.3999041,0.3269041,,,,
0.4986635,0.2947172,,,,
0.4055059,0.0098549,,,,
0.4869518,0.3459734,,,,
0.4355067,0.0614786,,,,
0.4123336,0.1863911,,,,
0.3839296,0.0179252,,,,
0.3547286,0.3249963,,,,
0.3847907,0.1996239,,,,
0.4416925,0.0896717,,,,
0.3739804,0.0763177,,,,
0.4024114,0.2890988,,,,
0.4700254,0.0189347,,,,
0.3689083,0.2989397,,,,
0.2803019,0.0489909,,,,
0.3949137,0.2110607,,,,
0.3013739,0.0336128,,,,
0.5828916,0.0486253,,,,
0.4167753,0.5645981,,,,
0.3166447,0.0390349,,,,
0.3830378,0.1696667,,,,
0.4433142,0.2176591,,,,
0.3460834,0.1464269,,,,
0.2928666,0.293612,,,,
0.30177,0.1093643,,,,
0.3530289,0.0371676,,,,
0.3384393,0.0595036,,,,
0.4223133,0.2386649,,,,
0.5117776,0.270207,,,,
0.3560936,0.1672545,,,,
0.3865168,0.2853822,,,,
0.3399108,0.0921273,,,,
0.3821487,0.0942022,,,,
0.3858233,0.0666881,,,,
0.4847429,0.1497227,,,,
0.3807665,0.1418113,,,,
0.3200557,0.0023107,,,,
0.4248794,0.0824712,,,,
0.3782389,0.2956808,,,,
0.3834149,0.0159807,,,,
0.400909,0.4907181,,,,
0.3985771,0.3219643,,,,
0.3400103,0.1807119,,,,
0.3666269,0.1437153,,,,
0.3256563,0.3536793,,,,
0.4088621,0.449224,,,,
0.4765512,0.0498942,,,,
0.6405772,0.2363479,,,,
0.4182355,0.1574169,,,,
0.4429903,0.2223245,,,,
0.4685453,0.3056702,,,,
0.4180184,0.3043086,,,,
0.4908936,0.4951967,,,,
0.3991905,0.3664923,,,,
0.4068656,0.1016997,,,,
0.4179098,0.030485,,,,
0.3665502,0.1532518,,,,
0.3924987,0.0774777,,,,
0.3587061,0.0555812,,,,
0.3389611,0.1952683,,,,
0.4210488,0.0214585,,,,
0.4189184,0.0336134,,,,
0.4141645,0.0805904,,,,
0.4257209,0.1331765,,,,
0.3820257,0.2472561,,,,
0.3704008,0.0988819,,,,
0.3457723,0.0646392,,,,
0.4942581,0.2730706,,,,
0.3411668,0.0559454,,,,
0.3638083,0.3253276,,,,
0.4140277,0.2446736,,,,
0.4623652,0.2542704,,,,
0.5629496,0.2745324,,,,
0.4517617,0.249102,,,,
0.4378865,0.3381184,,,,
0.563452,0.130273,,,,
0.444459,0.2932544,,,,
0.4054644,0.2793398,,,,
0.470291,0.176907,,,,
0.4328785,0.4394516,,,,
0.871793,0.4409853,,,,
0.3694596,0.2679093,,,,
0.4131193,0.1898507,,,,
0.417983,0.2905195,,,,
0.5681411,0.3426488,,,,
0.4304068,0.2637934,,,,
0.6955117,0.333289,,,,
0.2974569,0.0858264,,,,
0.4103606,0.1478558,,,,
0.5737365,0.0732047,,,,
0.4421537,0.175553,,,,
0.3506532,0.0585748,,,,
0.3754917,0.1377436,,,,
0.4611375,0.3142969,,,,
0.311826,0.2138768,,,,
0.797067,0.2521916,,,,
0.3437206,0.0718121,,,,
0.6958562,0.2005253,,,,
0.3213369,0.2866189,,,,
0.3692487,0.2515474,,,,
0.3976488,0.3568888,,,,
0.3228946,0.286777,,,,
0.3358846,0.2680057,,,,
0.4220678,0.315968,,,,
0.3999069,0.1753399,,,,
0.4037905,0.4742896,,,,
0.3684044,0.0304471,,,,
0.4015041,0.1086081,,,,
0.3855563,0.3730012,,,,
0.3720132,0.2497477,,,,
0.4014719,0.212197,,,,
0.4015876,0.1414639,,,,
0.290568,0.2770769,,,,
0.372759,0.1753348,,,,
0.427936,0.1443571,,,,
,0.0290367,,,,
,0.0323045,,,,
,0.1619381,,,,
,0.041004,,,,
,0.1571753,,,,
,0.1718799,,,,
,0.1601878,,,,
,0.1492425,,,,
,0.0157191,,,,
,0.0896098,,,,
,0.0555316,,,,
,0.1647021,,,,
,0.0683113,,,,
