trials1.thisTrialN,trials1.stepSize,trials1.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials1.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,8.5750642,9.0994275,9.0994275,9.0994275,9.4069029,right,10,1,1,5.4812939,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
1,2,8,14.6057465,15.1058448,15.1058448,15.1058448,15.4063617,right,8,1,1,0.7172786,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
2,2,6,15.8557025,16.3556122,16.3390281,16.3390281,16.6390862,left,-6,1,1,0.4975504,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
3,2,4,16.8558874,17.3555158,17.3555158,17.3555158,17.6555915,right,4,1,1,0.452048,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
4,2,2,17.8385698,18.3386126,18.3386126,18.3386126,18.6384648,left,-2,1,1,0.4124916,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
5,2,1,18.7720026,19.2717839,19.2717839,19.2717839,19.571976,right,1,1,1,3.7380094,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
6,1,1,23.0379991,23.5387578,23.5213096,23.5213096,23.8212581,right,1,0,0,2.8955991,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
7,1,2,26.4376127,26.937533,26.9213707,26.9213707,27.2210807,left,-2,1,1,0.5631893,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
8,1,2,27.5041274,28.0039831,28.0039831,28.0039831,28.3038864,left,-2,1,1,0.457741,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
9,1,2,28.4872009,28.9872696,28.9706072,28.9706072,29.2706908,left,-2,1,1,0.4531545,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
10,1,1,29.4539081,29.9542984,29.9373819,29.9373819,30.237081,left,-1,1,1,0.4828027,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
11,0.5,1,30.4371633,30.9371241,30.9371241,30.9371241,31.2369439,right,1,0,0,1.1822567,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
12,0.5,1.5,32.136755,32.6367375,32.6205496,32.6205496,32.9203273,right,1.5,0,0,0.7883394,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
13,0.5,2,33.4368275,33.9367414,33.9367414,33.9367414,34.236615,right,2,1,1,0.7633322,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
14,0.5,2,34.7198801,35.2198157,35.2033063,35.2033063,35.5028746,right,2,1,1,0.8799808,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
15,0.5,2,36.1027502,36.603045,36.603045,36.603045,36.9033027,left,-2,1,1,0.4576712,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
16,0.5,1.5,37.0863313,37.5860769,37.5860769,37.5860769,37.8859963,right,1.5,1,1,1.0934142,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
17,0.5,1.5,38.7024811,39.2025468,39.1859067,39.1859067,39.4861089,right,1.5,1,1,0.6507375,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
18,0.5,1.5,39.8701325,40.3698604,40.3538105,40.3538105,40.6523014,right,1.5,0,0,0.5653433,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
19,0.5,2,40.9359448,41.4365297,41.4188356,41.4188356,41.7188029,right,2,1,1,0.5929082,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
20,0.5,2,42.0352838,42.5357309,42.5190194,42.5190194,42.818819,left,-2,1,1,0.4349276,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
21,0.5,2,42.9852801,43.4853164,43.4853164,43.4853164,43.7857488,right,2,1,1,0.5964301,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
22,0.5,1.5,44.1020479,44.6019225,44.5852103,44.5852103,44.8849288,right,1.5,1,1,0.6836663,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
23,0.5,1.5,45.3019345,45.8018281,45.7852279,45.7852279,46.085215,right,1.5,0,0,0.6967973,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
24,0.5,2,46.503067,47.0020236,47.0020236,47.0020236,47.3018012,right,2,1,1,1.0243759,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
25,0.5,2,48.0516769,48.5515442,48.5515442,48.5515442,48.8512768,left,-2,1,1,0.4815682,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
26,0.5,2,49.0515569,49.5511539,49.5511539,49.5511539,49.8515731,right,2,1,1,0.4784582,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
27,0.5,1.5,50.0511927,50.551211,50.5344361,50.5344361,50.8347042,right,1.5,0,0,0.9224621,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
28,0.5,2,51.4842853,51.984314,51.984314,51.984314,52.2846933,right,2,1,1,0.5354173,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
29,0.5,2,52.5511302,53.0509057,53.0343002,53.0343002,53.3341344,right,2,1,1,0.537923,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
30,0.5,2,53.6006068,54.1008972,54.1008972,54.1008972,54.4006087,left,-2,1,1,0.4102178,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
31,0.5,1.5,54.5340841,55.0336988,55.0336988,55.0336988,55.33415,left,-1.5,1,1,0.4934607,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
32,0.5,1.5,55.552273,56.0531874,56.0377566,56.0377566,56.3465606,right,1.5,0,0,4.4361063,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
33,0.5,2,60.5007213,61.0014445,61.0014445,61.0014445,61.3021651,right,2,1,1,0.6135424,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
34,0.5,2,61.6340987,62.1338309,62.1338309,62.1338309,62.4336111,left,-2,1,1,0.43866,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
35,0.5,2,62.6007135,63.1002704,63.1002704,63.1002704,63.4002652,left,-2,1,1,0.4194657,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
36,0.5,1.5,63.5512076,64.0523204,64.034229,64.034229,64.3335714,right,1.5,1,1,0.4435857,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
37,0.5,1.5,64.5001881,64.9998519,64.9998519,64.9998519,65.300139,right,1.5,0,0,0.6336218,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
38,0.5,2,65.6505893,66.1506064,66.1336423,66.1336423,66.4332668,left,-2,0,0,0.4233881,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
39,0.5,2.5,66.5837313,67.0841392,67.0667483,67.0667483,67.3672489,left,-2.5,1,1,0.5022693,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
40,0.5,2.5,67.5989047,68.0989533,68.0832001,68.0832001,68.3987426,right,2.5,1,1,0.5128399,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
41,0.5,2.5,68.6157598,69.1154806,69.1004888,69.1004888,69.4004676,right,2.5,0,0,0.45699,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
42,0.5,3,69.5823079,70.0824267,70.0824267,70.0824267,70.3819001,left,-3,1,1,0.4988931,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
43,0.5,3,70.5987715,71.0984054,71.0984054,71.0984054,71.3990688,right,3,1,1,0.5644617,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
44,0.5,3,71.6818648,72.183166,72.1668631,72.1668631,72.4670968,left,-3,1,1,0.4937377,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
45,0.5,2.5,72.6831342,73.1833515,73.1664675,73.1664675,73.466429,right,2.5,1,1,0.4797804,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
46,0.5,2.5,73.6655622,74.1654989,74.1654989,74.1654989,74.4658711,left,-2.5,1,1,0.4247633,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
47,0.5,2.5,74.616237,75.116164,75.0988933,75.0988933,75.3989609,left,-2.5,1,1,0.3822668,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
48,0.5,2,75.4993137,75.9988166,75.9988166,75.9988166,76.2988507,right,2,1,1,0.6103519,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
49,0.5,2,76.6320107,77.1322976,77.1322976,77.1322976,77.4316926,right,2,1,1,0.5536688,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
50,0.5,2,77.7160435,78.2316549,78.1983708,78.1983708,78.4983464,left,-2,1,1,0.3547788,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
51,0.5,1.5,78.5824816,79.0980147,79.0814799,79.0814799,79.3969872,right,1.5,1,1,0.5943672,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
52,0.5,1.5,79.6971668,80.1972675,80.1972675,80.1972675,80.4974911,left,-1.5,1,1,0.3808078,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
53,0.5,1.5,80.5972257,81.0977577,81.0977577,81.0977577,81.3984774,left,-1.5,1,1,0.427659,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
54,0.5,1,81.5472611,82.0472471,82.0472471,82.0472471,82.347057,right,1,1,1,0.6203034,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
55,0.5,1,82.6970069,83.1968942,83.1805104,83.1805104,83.4800853,left,-1,1,1,0.4237359,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
56,0.5,1,83.6304443,84.1311224,84.1311224,84.1311224,84.4302627,right,1,1,1,0.7772594,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
57,0.5,1,84.9300463,85.4297087,85.4297087,85.4297087,85.7297792,right,1,0,0,0.4705801,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
58,0.5,1.5,85.9301089,86.4298139,86.4298139,86.4298139,86.7299246,right,1.5,1,1,0.5419274,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
59,0.5,1.5,86.9964585,87.4965165,87.4965165,87.4965165,87.796269,left,-1.5,1,1,0.3486353,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
60,0.5,1.5,87.8627881,88.3631943,88.3465161,88.3465161,88.6459884,right,1.5,0,0,0.5396722,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
61,0.5,2,88.9134789,89.4128703,89.4128703,89.4128703,89.7129221,right,2,1,1,0.4963924,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
62,0.5,2,89.929376,90.4294826,90.4294826,90.4294826,90.7293567,right,2,1,1,0.5766099,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
63,0.5,2,91.0291965,91.5291741,91.5129626,91.5129626,91.8127557,left,-2,1,1,0.4057757,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
64,0.5,1.5,91.9462079,92.4456021,92.4456021,92.4456021,92.7460066,right,1.5,0,0,0.4798647,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
65,0.5,2,92.9453725,93.4454507,93.4454507,93.4454507,93.7458372,right,2,1,1,0.5070973,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
66,0.5,2,93.9787424,94.4786012,94.4621656,94.4621656,94.7628307,left,-2,1,1,0.3827888,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
67,0.5,2,94.8624163,95.3637661,95.3477368,95.3477368,95.6633565,left,-2,1,1,0.5842792,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
68,0.5,1.5,95.9636936,96.4791032,96.4458953,96.4458953,96.7459483,left,-1.5,1,1,0.5187259,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
69,0.5,1.5,96.996553,97.4964633,97.479197,97.479197,97.7790561,left,-1.5,1,1,0.5737371,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
70,0.5,1.5,98.0791867,98.5789717,98.5789717,98.5789717,98.8795086,left,-1.5,1,1,0.3955976,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
71,0.5,1,98.9962256,99.4962873,99.4789792,99.4789792,99.7789278,left,-1,1,1,0.4071583,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
72,0.5,1,99.9121291,100.412168,100.412168,100.412168,100.7121156,left,-1,1,1,0.4960426,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
73,0.5,1,100.9295143,101.4296433,101.4125009,101.4125009,101.7125071,left,-1,1,1,0.3628637,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
74,0.5,1,101.7944119,102.2943439,102.2943439,102.2943439,102.594286,left,-1,1,1,0.3881396,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
75,0.5,1,102.7108986,103.2108705,103.1939935,103.1939935,103.4947222,left,-1,1,1,0.4051226,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
76,0.5,1,103.6275805,104.1276391,104.1109738,104.1109738,104.4112446,right,1,0,0,0.3806075,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
77,0.5,1.5,104.5110838,105.0107052,105.0107052,105.0107052,105.3106576,right,1.5,0,0,0.4565697,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
78,0.5,2,105.4940136,105.9941417,105.977471,105.977471,106.2771601,left,-2,1,1,0.4112523,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
79,0.5,2,106.4108313,106.9105937,106.9105937,106.9105937,107.2107935,right,2,0,0,0.4387311,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
80,0.5,2.5,107.3773171,107.8771538,107.8606115,107.8606115,108.1611941,right,2.5,1,1,0.5427469,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
81,0.5,2.5,108.4271339,108.9270645,108.9103765,108.9103765,109.2102632,left,-2.5,1,1,0.3489136,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
82,0.5,2.5,109.27658,109.7770003,109.7603306,109.7603306,110.0603787,left,-2.5,1,1,0.4220029,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
83,0.5,2,110.2108308,110.7099957,110.7099957,110.7099957,111.0103352,right,2,0,0,0.4295813,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
84,0.5,2.5,111.1602154,111.6596769,111.6596769,111.6596769,111.9600272,left,-2.5,1,1,0.3807492,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
85,0.5,2.5,112.0599675,112.5597049,112.5597049,112.5597049,112.8601295,left,-2.5,1,1,0.3497243,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
86,0.5,2.5,112.9264387,113.4263544,113.4263544,113.4263544,113.7262867,right,2.5,0,0,0.329635,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
87,0.5,3,113.7764819,114.2762144,114.2762144,114.2762144,114.5760046,left,-3,1,1,0.4309107,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
88,0.5,3,114.7260054,115.2265506,115.2265506,115.2265506,115.5259363,right,3,1,1,0.5970629,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
89,0.5,3,115.8425225,116.3426448,116.3258752,116.3258752,116.6257189,right,3,1,1,0.5159596,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
90,0.5,2.5,116.8590313,117.3590553,117.3590553,117.3590553,117.6591139,right,2.5,0,0,0.8857103,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
91,0.5,3,118.2762376,118.7754207,118.7593564,118.7593564,119.0587879,left,-3,1,1,0.5431596,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
92,0.5,3,119.3256122,119.825632,119.8089092,119.8089092,120.1115186,right,3,1,1,0.5606505,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
93,0.5,3,120.3925038,120.8919118,120.8755633,120.8755633,121.1754003,left,-3,1,1,0.4050018,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
94,0.5,2.5,121.3086378,121.8084759,121.7917185,121.7917185,122.0920892,right,2.5,1,1,0.4366592,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
95,0.5,2.5,122.2586357,122.7583736,122.7416777,122.7416777,123.0416812,right,2.5,1,1,0.5136361,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
96,0.5,2.5,123.2752745,123.7748185,123.7748185,123.7748185,124.0748488,left,-2.5,1,1,0.4262179,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
97,0.5,2,124.2246715,124.7248507,124.7080935,124.7080935,125.0079352,left,-2,1,1,0.5098108,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
98,0.5,2,125.2412354,125.7413324,125.7247888,125.7247888,126.0250871,right,2,1,1,0.880817,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
99,0.5,2,126.624954,127.1248224,127.1248224,127.1248224,127.425166,left,-2,1,1,0.4336386,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
