reward_today,future_reward,delay,key_resp.keys,K,,,,,
70,71,141,t,0.000101317,,0.011051669,,,
78,80,162,t,0.000158278,,,,,0.011051669
78,80,162,l,0.000158278,,,,,
78,80,162,t,0.000158278,,,,,
78,80,162,t,0.000158278,,,,,
69,71,136,t,0.000213129,,,,,
68,71,194,t,0.000227411,,,,,
70,72,107,t,0.000267023,,,,,
123,125,54,t,0.000301114,,,,,
25,27,250,t,0.00032,,,,,
69,72,124,t,0.000350631,,,,,
1034,1254,456,l,0.000466592,,,,,
78,98,521,t,0.00049215,,,,,
456,654,852,l,0.000509637,,,,,
600,700,321,t,0.000519211,,,,,
69,74,108,t,0.000670961,,,,,
68,76,155,t,0.000759013,,,,,
66,73,131,t,0.000809623,,,,,
324,456,465,l,0.000876145,,,,,
70,83,198,t,0.000937951,,,,,
67,75,119,t,0.001003386,,,,,
67,75,119,t,0.001003386,,,,,
67,75,119,t,0.001003386,,,,,
67,75,119,t,0.001003386,,,,,
70,78,112,t,0.001020408,,,,,
62,75,171,t,0.001226184,,,,,
69,75,69,t,0.001260239,,,,,
64,80,196,t,0.00127551,,,,,
70,83,145,t,0.001280788,,,,,
56,65,123,t,0.00130662,,,,,
69,73,36,t,0.001610306,,,,,
85,120,254,l,0.001621121,,,,,
70,92,189,t,0.001662887,,,,,
69,86,148,t,0.001664708,,,,,
500,510,12,t,0.001666667,,,,,
67,85,159,l,0.001689665,,,,,
54,73,200,t,0.001759259,,,,,
68,76,65,t,0.001809955,,,,,
78,100,154,l,0.001831502,,,,,
156,354,644,l,0.001970855,,,,,
70,95,180,t,0.001984127,,,,,
67,81,100,t,0.002089552,,,,,
58,73,123,t,0.002102607,,,,,
54,76,185,t,0.002202202,,,,,
66,87,139,t,0.002289078,,,,,
70,99,180,t,0.002301587,,,,,
51,73,182,t,0.002370179,,,,,
65,89,149,t,0.002478059,,,,,
57,85,197,t,0.002493544,,,,,
55,79,174,t,0.002507837,,,,,
49,60,89,t,0.002522357,,,,,
49,60,89,t,0.002522357,,,,,
49,60,89,t,0.002522357,,,,,
49,60,89,t,0.002522357,,,,,
56,70,97,t,0.00257732,,,,,
68,74,34,t,0.002595156,,,,,
450,500,42,t,0.002645503,,,,,
425,452,23,l,0.002762148,,,,,
400,456,50,l,0.0028,,,,,
300,321,25,l,0.0028,,,,,
60,92,188,t,0.002836879,,,,,
55,77,139,t,0.002877698,,,,,
64,85,109,t,0.003010321,,,,,
52,70,112,t,0.003090659,,,,,
47,72,172,t,0.003092528,,,,,
54,85,177,t,0.003243356,,,,,
66,87,98,t,0.003246753,,,,,
59,75,83,l,0.003267307,,,,,
64,77,62,t,0.00327621,,,,,
45,71,172,t,0.003359173,,,,,
64,87,106,t,0.00339033,,,,,
50,75,147,t,0.003401361,,,,,
50,80,176,t,0.003409091,,,,,
57,76,96,t,0.003472222,,,,,
320,1000,612,l,0.003472222,,,,,
57,68,55,l,0.003508772,,,,,
60,72,56,t,0.003571429,,,,,
54,92,195,t,0.003608737,,,,,
90,100,30,t,0.003703704,,,,,
56,87,146,t,0.003791585,,,,,
231,300,78,l,0.003829504,,,,,
215,234,23,l,0.003842265,,,,,
57,86,130,t,0.00391363,,,,,
46,82,194,l,0.004034065,,,,,
47,78,163,t,0.004046469,,,,,
500,564,30,l,0.004266667,,,,,
970,987,4,l,0.004381443,,,,,
55,75,80,l,0.004545455,,,,,
42,76,176,t,0.004599567,,,,,
70,94,74,l,0.004633205,,,,,
39,75,194,t,0.004758128,,,,,
52,96,177,t,0.00478053,,,,,
64,79,49,t,0.004783163,,,,,
61,94,112,t,0.004830211,,,,,
42,78,177,t,0.004842615,,,,,
87,98,26,l,0.004862953,,,,,
50,84,139,t,0.004892086,,,,,
57,73,56,l,0.005012531,,,,,
46,70,104,t,0.005016722,,,,,
59,97,124,t,0.005194095,,,,,
49,91,165,t,0.005194805,,,,,
40,60,95,t,0.005263158,,,,,
123,140,26,t,0.005315822,,,,,
55,77,75,t,0.005333333,,,,,
43,88,196,t,0.005339345,,,,,
54,78,83,t,0.005354752,,,,,
40,75,163,t,0.005368098,,,,,
49,74,95,t,0.005370569,,,,,
67,85,50,t,0.005373134,,,,,
42,79,163,t,0.005404616,,,,,
39,79,189,t,0.005426672,,,,,
50,96,169,t,0.005443787,,,,,
42,87,193,t,0.005551443,,,,,
45,52,28,l,0.005555556,,,,,
52,65,45,l,0.005555556,,,,,
56,90,108,t,0.005621693,,,,,
40,70,132,t,0.005681818,,,,,
53,86,109,t,0.005712307,,,,,
52,71,63,t,0.005799756,,,,,
43,86,172,t,0.005813953,,,,,
43,70,106,t,0.005923651,,,,,
62,82,54,t,0.005973716,,,,,
14,35,251,t,0.005976096,,,,,
40,55,62,t,0.006048387,,,,,
40,55,62,l,0.006048387,,,,,
40,55,62,t,0.006048387,,,,,
40,55,62,t,0.006048387,,,,,
48,95,157,t,0.00623673,,,,,
48,82,112,t,0.006324405,,,,,
40,87,185,t,0.006351351,,,,,
45,94,170,t,0.006405229,,,,,
59,84,66,t,0.006420134,,,,,
41,93,196,t,0.006470881,,,,,
37,74,154,t,0.006493506,,,,,
50,89,120,l,0.0065,,,,,
54,65,31,l,0.006571087,,,,,
78,89,21,l,0.006715507,,,,,
59,98,97,l,0.006814608,,,,,
47,75,87,l,0.00684764,,,,,
54,92,102,t,0.006899056,,,,,
45,76,98,l,0.007029478,,,,,
40,94,190,t,0.007105263,,,,,
49,87,109,t,0.007114773,,,,,
50,79,81,t,0.007160494,,,,,
49,83,96,t,0.007227891,,,,,
38,72,122,t,0.007333909,,,,,
68,99,62,t,0.007352941,,,,,
62,99,80,l,0.007459677,,,,,
50,82,85,t,0.007529412,,,,,
39,96,194,t,0.007533703,,,,,
498,975,127,l,0.007541979,,,,,
36,80,162,t,0.007544582,,,,,
36,77,150,t,0.007592593,,,,,
59,99,88,t,0.00770416,,,,,
37,85,167,t,0.007768247,,,,,
54,97,101,t,0.007884122,,,,,
61,76,31,t,0.007932311,,,,,
54,97,100,t,0.007962963,,,,,
21,32,65,l,0.008058608,,,,,
51,100,119,t,0.008073818,,,,,
48,85,95,l,0.008114035,,,,,
45,123,213,l,0.008137715,,,,,
54,65,25,t,0.008148148,,,,,
39,100,190,t,0.008232119,,,,,
59,86,55,t,0.008320493,,,,,
36,89,176,t,0.008364899,,,,,
40,84,131,t,0.008396947,,,,,
34,90,192,t,0.008578431,,,,,
21,85,355,l,0.008584842,,,,,
55,98,91,t,0.008591409,,,,,
34,73,133,t,0.008624502,,,,,
49,86,87,t,0.008679334,,,,,
48,94,110,t,0.008712121,,,,,
27,71,185,t,0.008808809,,,,,
36,86,157,t,0.008846426,,,,,
41,82,113,t,0.008849558,,,,,
45,98,130,l,0.009059829,,,,,
31,86,185,t,0.009590235,,,,,
43,73,72,t,0.009689922,,,,,
49,96,98,l,0.009787589,,,,,
14,58,321,t,0.009790832,,,,,
33,98,199,t,0.009897975,,,,,
38,99,158,t,0.010159893,,,,,
32,89,175,t,0.010178571,,,,,
45,56,24,t,0.010185185,,,,,
38,92,139,t,0.0102234,,,,,
44,99,122,t,0.010245902,,,,,
48,95,95,t,0.010307018,,,,,
42,94,120,t,0.01031746,,,,,
36,86,134,t,0.010364842,,,,,
48,75,54,t,0.010416667,,,,,
125,987,655,l,0.010528244,,,,,
45,93,101,t,0.010561056,,,,,
53,97,77,t,0.010781671,,,,,
52,99,83,t,0.010889713,,,,,
34,67,89,t,0.010905486,,,,,
31,89,170,t,0.011005693,,,,,
50,82,58,t,0.011034483,,,,,
45,50,10,l,0.011111111,,,,,
37,95,138,t,0.011359185,,,,,
35,95,150,t,0.011428571,,,,,
50,100,87,t,0.011494253,,,,,
27,78,164,t,0.011517615,,,,,
55,92,58,l,0.011598746,,,,,
125,220,65,l,0.011692308,,,,,
37,86,111,t,0.01193085,,,,,
30,90,167,t,0.011976048,,,,,
59,72,18,l,0.012241055,,,,,
40,100,122,t,0.012295082,,,,,
26,72,143,t,0.012372243,,,,,
27,94,200,t,0.012407407,,,,,
30,79,131,t,0.012468193,,,,,
23,73,174,l,0.012493753,,,,,
40,90,100,l,0.0125,,,,,
39,97,118,t,0.012603216,,,,,
40,98,115,t,0.012608696,,,,,
34,96,143,t,0.012751954,,,,,
20,40,78,t,0.012820513,,,,,
33,73,94,t,0.012894907,,,,,
48,92,71,l,0.012910798,,,,,
42,83,75,l,0.013015873,,,,,
29,85,146,t,0.013226264,,,,,
41,90,90,l,0.013279133,,,,,
27,88,170,t,0.01328976,,,,,
31,97,160,l,0.013306452,,,,,
100,132,24,l,0.013333333,,,,,
30,99,172,t,0.013372093,,,,,
87,880,678,l,0.013443868,,,,,
47,99,82,l,0.013492475,,,,,
62,83,25,l,0.013548387,,,,,
26,74,136,t,0.013574661,,,,,
55,79,32,t,0.013636364,,,,,
48,74,39,l,0.013888889,,,,,
52,76,33,l,0.013986014,,,,,
39,100,111,t,0.014091014,,,,,
61,98,43,t,0.014105986,,,,,
250,300,14,l,0.014285714,,,,,
60,97,43,t,0.014341085,,,,,
54,96,54,l,0.014403292,,,,,
27,80,136,t,0.014433551,,,,,
41,81,67,t,0.01456134,,,,,
35,95,115,t,0.014906832,,,,,
37,98,110,t,0.014987715,,,,,
50,65,20,l,0.015,,,,,
24,86,168,t,0.015376984,,,,,
23,32,25,t,0.015652174,,,,,
23,72,136,l,0.015664962,,,,,
24,72,127,t,0.015748031,,,,,
30,82,110,t,0.015757576,,,,,
44,87,62,l,0.015762463,,,,,
27,92,150,t,0.016049383,,,,,
27,100,168,t,0.016093474,,,,,
38,72,55,t,0.016267943,,,,,
45,56,15,l,0.016296296,,,,,
29,91,131,t,0.016320084,,,,,
43,76,47,t,0.01632855,,,,,
26,73,110,t,0.016433566,,,,,
21,88,194,t,0.016445754,,,,,
37,81,72,l,0.016516517,,,,,
54,540,544,l,0.016544118,,,,,
60,65,5,l,0.016666667,,,,,
20,25,15,l,0.016666667,,,,,
30,70,80,l,0.016666667,,,,,
45,86,54,t,0.016872428,,,,,
21,78,160,t,0.016964286,,,,,
33,81,85,t,0.017112299,,,,,
20,70,146,l,0.017123288,,,,,
46,85,49,l,0.017302573,,,,,
22,96,192,t,0.017518939,,,,,
30,92,117,l,0.017663818,,,,,
31,85,97,l,0.017958098,,,,,
26,83,122,t,0.017969735,,,,,
29,77,90,t,0.018390805,,,,,
20,95,200,l,0.01875,,,,,
43,86,53,t,0.018867925,,,,,
36,92,81,t,0.01920439,,,,,
18,32,40,t,0.019444444,,,,,
37,90,72,l,0.019894895,,,,,
42,73,37,l,0.01994852,,,,,
42,97,65,t,0.02014652,,,,,
33,71,57,l,0.02020202,,,,,
55,94,35,l,0.02025974,,,,,
12,23,45,l,0.02037037,,,,,
20,87,163,t,0.020552147,,,,,
31,89,91,t,0.020560085,,,,,
26,86,110,t,0.020979021,,,,,
31,87,86,t,0.021005251,,,,,
42,93,57,t,0.021303258,,,,,
20,50,70,t,0.021428571,,,,,
40,79,45,l,0.021666667,,,,,
28,95,110,t,0.021753247,,,,,
29,100,112,t,0.021859606,,,,,
26,99,126,t,0.022283272,,,,,
36,89,66,l,0.022306397,,,,,
29,83,83,t,0.022434566,,,,,
22,66,89,l,0.02247191,,,,,
36,97,75,l,0.022592593,,,,,
25,97,124,l,0.023225806,,,,,
32,75,57,t,0.023574561,,,,,
30,88,82,l,0.023577236,,,,,
20,71,107,t,0.023831776,,,,,
24,89,112,t,0.024181548,,,,,
100,210,45,l,0.024444444,,,,,
29,86,79,l,0.024879965,,,,,
22,78,101,t,0.02520252,,,,,
27,76,72,t,0.025205761,,,,,
36,87,56,t,0.025297619,,,,,
29,74,60,t,0.025862069,,,,,
39,73,33,l,0.026418026,,,,,
32,98,77,t,0.026785714,,,,,
46,97,40,l,0.027717391,,,,,
20,95,133,l,0.028195489,,,,,
23,73,77,l,0.028232637,,,,,
27,88,78,t,0.028964862,,,,,
34,99,65,l,0.029411765,,,,,
25,89,86,l,0.029767442,,,,,
37,76,35,l,0.03011583,,,,,
42,91,36,l,0.032407407,,,,,
28,87,64,l,0.032924107,,,,,
21,86,94,l,0.032928065,,,,,
10,30,60,l,0.033333333,,,,,
50,96,27,l,0.034074074,,,,,
21,76,76,l,0.034461153,,,,,
60,89,14,t,0.03452381,,,,,
34,87,45,l,0.034640523,,,,,
22,96,96,l,0.035037879,,,,,
49,96,27,l,0.035525321,,,,,
15,62,87,l,0.036015326,,,,,
100,250,41,l,0.036585366,,,,,
20,53,45,l,0.036666667,,,,,
28,95,65,t,0.036813187,,,,,
20,45,32,l,0.0390625,,,,,
15,105,150,l,0.04,,,,,
43,90,27,l,0.040482343,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
27,50,21,l,0.040564374,,,,,
27,50,21,t,0.040564374,,,,,
24,88,63,l,0.042328042,,,,,
57,74,7,l,0.042606516,,,,,
35,99,41,l,0.044599303,,,,,
39,94,31,l,0.045492142,,,,,
31,74,30,t,0.046236559,,,,,
12,26,25,l,0.046666667,,,,,
11,23,23,l,0.04743083,,,,,
34,234,123,t,0.047824008,,,,,
39,97,31,l,0.047973532,,,,,
31,91,40,l,0.048387097,,,,,
31,88,37,t,0.049694856,,,,,
3,6,20,t,0.05,,,,,
26,71,34,l,0.050904977,,,,,
45,100,24,l,0.050925926,,,,,
32,52,12,t,0.052083333,,,,,
38,100,31,l,0.052631579,,,,,
2,63,568,l,0.053697183,,,,,
45,96,21,l,0.053968254,,,,,
20,80,55,l,0.054545455,,,,,
47,89,16,l,0.055851064,,,,,
23,91,50,t,0.059130435,,,,,
12,34,30,l,0.061111111,,,,,
25,78,33,l,0.064242424,,,,,
20,91,55,t,0.064545455,,,,,
120,230,14,l,0.06547619,,,,,
28,91,33,l,0.068181818,,,,,
31,82,23,l,0.071528752,,,,,
7,18,20,t,0.078571429,,,,,
10,90,100,l,0.08,,,,,
11,23,12,t,0.090909091,,,,,
12,98,77,l,0.093073593,,,,,
15,35,13,l,0.102564103,,,,,
15,35,13,l,0.102564103,,,,,
15,35,13,l,0.102564103,,,,,
15,35,13,l,0.102564103,,,,,
22,100,32,l,0.110795455,,,,,
52,93,7,l,0.112637363,,,,,
50,86,6,t,0.12,,,,,
26,96,21,l,0.128205128,,,,,
64,90,3,l,0.135416667,,,,,
26,81,15,l,0.141025641,,,,,
26,94,18,l,0.145299145,,,,,
62,84,2,l,0.177419355,,,,,
22,87,16,l,0.184659091,,,,,
61,95,3,l,0.18579235,,,,,
5,98,100,l,0.186,,,,,
10,20,5,l,0.2,,,,,
41,99,7,l,0.202090592,,,,,
29,92,9,l,0.24137931,,,,,
11,30,7,l,0.246753247,,,,,
11,30,7,l,0.246753247,,,,,
11,30,7,l,0.246753247,,,,,
11,30,7,l,0.246753247,,,,,
23,67,7,l,0.273291925,,,,,
20,99,14,l,0.282142857,,,,,
50,98,3,l,0.32,,,,,
10,28,5,l,0.36,,,,,
45,100,2,l,0.611111111,,,,,
20,87,3,l,1.116666667,,,,,
20,89,2,l,1.725,,,,,
3,28,3,l,2.777777778,,,,,
20,82,1,l,3.1,,,,,
